publishedAt,title,description,channelTitle,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
2021-11-08T13:00:12Z,Golo 3 Latest Yoruba Movie 2021 Drama Starring Odunlade Adekola | Wunmi Ajiboye | Segun Ogungbe,"Fortified by terrestrial powers and feared by many, a dangerous and dreadful couple ensnare the people with their  nefarious activities. All efforts to put them behind bars reveals more sinister incidents. Find out more in this captivating and intriguing movie featuring Odunlade Adekola, Wunmi Ajiboye, Segun Ogungbe, Olaiya Igwe Owolabi Ajasa, Peter Ijagbemi.

Please SUBSCRIBE to APATATV+ by clicking on the Subscribe Button and don't forget to click the Bell notification button to get notified of new yoruba movies release updates.
Follow us on Instagram, Twitter and Facebook : @apatatv",APATATV+,"['latest yoruba movie 2021 new release this week', 'yoruba movies 2021 this week new release', 'new uploaded yoruba movies 2021 latest this week', 'yoruba movies', 'yoruba movies 2021 new release today', 'latest nigerian movies 2021', 'nollywood movies 2021', 'yoruba movies 2021 new release', 'apatatv yoruba movies 2021', 'golo 3 latest yoruba movie 2021', 'golo 3 yoruba movie 2021', 'golo part 3', 'golo 3 yoruba movie new release today', 'odunlade adekola', 'wunmi ajiboye', 'segun ogungbe', 'yorubahood', 'libratv']",24,none,en,yo
2021-11-13T18:38:29Z,Liberia v Nigeria | FIFA World Cup Qatar 2022 Qualifier | Match Highlights,"Victor Osimhen and Ahmed Musa both struck from the penalty spot as Nigeria remain in pole position with one game remaining in Group C of African Qualifiers. 

More African Qualifiers highlights here: 
https://www.youtube.com/playlist?list=PLCGIzmTE4d0gT-tQn442g0F7-SBWkT5Yk

Subscribe to FIFA on YouTube: 
https://www.youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw?sub_confirmation=1 

Round Two African Qualifiers | Full Matches: 
https://www.youtube.com/playlist?list=PLCGIzmTE4d0h-KZQ2k2wJY0WSRE8tqkCx 

Get your football fill from FIFA:
👉 https://www.instagram.com/fifaworldcup             
👉 https://www.instagram.com/fifawomensworldcup             
👉 https://twitter.com/FIFAWorldCup             
👉 https://twitter.com/FIFAWWC             
👉 https://www.facebook.com/fifaworldcup             
👉 https://www.facebook.com/fifawomensworldcup

#WorldCup",FIFATV,"['Football', 'FIFA', 'official', 'Soccer', 'Futbol', 'Futebol', 'Fußball', 'Fussball', 'Calcio', 'Voetbal', 'كرة فوتبول', 'गोल', 'वर्ल्ड कप', 'स्किल्स', 'फुटबॉल', 'Gol', 'Piala Dunia', 'Mendribel Bola', 'Keterampilan', 'ได้ประตู', 'ชิงแชมป์โลก', 'ฟุตบอล', 'ทักษะ', 'World Cup', 'FIFA World Cup', 'African World Cup Qualifying', 'CAF World Cup Qualifiers', 'World Cup Qualifiers', 'World Cup Qualifiers Live', 'match highlights', 'CAF African qualifiers', 'African Qualifiers World Cup', 'African Qualifiers', 'World Cup Qualifiers Africa', 'Africa', 'CAF World Cup']",17,none,en,en
2021-11-05T09:30:01Z,The Cokers Latest Yoruba Movie 2021 Drama Starring Bimpe Oyebade | Mercy Aigbe | Ronke Odusanya,"A gripping story about a famous and wealthy industrialist who make a simple yet complicated request to his family while hiding a secret that would create a storm amongst them. Find out more in this star studded movie starring Bimpe Oyebade, Mercy Aigbe, Ronke Odusanya, Adebayo Salami, Debbie Shokoya, Niyi Johnson, Jide Awobona, Ibrahim Yekini.


Please SUBSCRIBE to Yorubaplus Today by clicking on the Subscribe Button and don't forget to activate the Bell notification button to get notified of our latest yoruba movies release updates.

Follow us on IG.Twitter and FB: @Yorubaplus",Yorubaplus,"['latest yoruba movies 2021 new release', 'yoruba movies 2021 this week new release', 'new yoruba movies 2021 latest this week', 'yoruba movies', 'yoruba movies 2021 new release', 'the cokers yoruba movie 2021', 'the cokers new release yoruba movie 2021', 'the cokers', 'the cokers new yoruba movie 2021 latest release', 'the cokers latest yoruba movie 2021 latest this week', 'bimpe oyebade', 'ronke odusanya', 'mercy aigbe', 'yorubahood', 'libratv', 'yorubaplus', 'yorubaplay', 'apatatv', 'olumotv']",24,none,yo,yo
2021-11-07T18:58:10Z,IZZAR SO EPISODE 65 ORIGINAL,"Wannan Channel Bakori tv Zata Rika Kawo Muku Shirye Shirye Masu kayatarwa Da Nishadantarwa Da kuma ilmantarwa 

#bakori_tv #izzarso #sakonso #latesthausafilm #lawanahmad #alinuhu #awa24 #arewa24 #Netklix #basarakiyaTv #tsakar-gida #adamazango #mazaje #Aliartwork #Nishadi-zallah #ScleverTv #Nishadi24 #Ayatullahi-Tage #Sclever #RayuwarmasoyaTv",BAKORI TV,"['Broda Shaggi', 'BrodaShaggi', 'Fine boy Agbero', 'Nigerian Comedy', 'Nigerian Comedy 2020', 'OYA HIT ME', 'oyahitme shaggination']",24,none,en,en-GB
2021-11-03T23:00:13Z,ONCE UPON A BAD DAY | BRODASHAGGI | CHIOMA AKPOTHA | LILO ADEROGBA | DJ BIG N,"Please SUBSCRIBE to Broda Shaggi Official YouTube Channel, Nigeria's number 1 Fine boy Agbero
https://www.youtube.com/channel/UCG6orNVuXIICv9_ifH6msIA",official BRODA SHAGGI,"['SuperSport', 'SuperSport live', 'supersport tv guide', 'supersport com', 'supersport dstv', 'supersport highlights', 'Atalanta v Man Utd']",23,none,en,en-GB
2021-11-11T12:00:11Z,Banky W - Jo (Official Music Video),"Banky W - Jo available everywhere: https://onerpm.lnk.to/BankyW-Jo

Connect with Banky W: 
https://www.instagram.com/BankyWellington
https://twitter.com/BankyW 

Director - TheOladayo and Banky Wellington
Producer - Cobhams Asuquo 
Writers - Henry Enebeli and Banky Wellington 
Sound Mixer - Timothy King
Editor - TheOladayo 
Choreographer - Bunmi Olunloyo
Production Designer - Juyin Demuren 
Production Manager - Uche Odoh 
Stylist - Mag Payne 
Suit - David Wej 
Make up - T.Alamode 
Hair - Bernard Smiles

Powered by - EME and BAAD Media Productions 

Lyrics: 

Yes you are far from the regular
The life of the party, I wanna be exactly where you are 
E be you wey dey burst my medulla 
As you dey totori mi wit the vibe wey dey sweet me pass sugar 

As U dey kill me wit d gbas 
…kill me wit d gbos 
On the dance floor, murder she wrote
This your fire dance, dey make me catch cold 
Girl you get the talent, go ahead and let it show 

Cuz I love the way you jo… jo… jo
Fun mi like so…so… so
Them no fit to measure to my baby
Patewo for my baby 
Yes I love the way you jo… jo… jo
Fun mi like so… so… so 
Them no fit to demo for my baby
Patewo for my baby 

My baby good, baby bad oh 
If you see the way she move e be mad oh 
Oya enter the groove issa jam oh 
I dey the mood, make we do the collabo 

Me tell her, me tell her “who’s your Zaddy?”
I’m feeling good cuz my boo’s a baddie 
I’m feeling nice cuz my wife’s a hottie
Any other kind, them be photocopy 
Oh my Lordi 
And me no send nobody, no
You look takeaway and I go carry go 
Aye mi temi ba mi wo 
I don hit the lotto, issa goal 

With the gbas, kill me with the gbos
On the dance floor, murder she wrote 
This your fire dance, dey make me catch cold 
Girl you get the talent, go ahead and let it show 

Cuz I love the way you jo… jo… jo
Fun mi like so…so… so
Them no fit to measure to my baby
Patewo for my baby 
Yes I love the way you jo… jo… jo
Fun mi like so… so… so 
Them no fit to demo for my baby
Patewo for my baby 

She no dey hinder the ginger 
She got me tripping, I don’t even need a visa 
I need her now, need her later 
Ma lo faraway my baby eh
She no dey hinder the ginger 
She got me tripping, I don’t even need a visa
I need her now no be later 
Omo don’t go far

Cuz I love the way you jo… jo… jo
Fun mi like so…so… so
Them no fit to measure to my baby
Patewo for my baby 
Yes I love the way you jo… jo… jo
Fun mi like so… so… so 
Them no fit to demo for my baby
Patewo for my baby 

My baby good, baby bad oh 
If you see the way she move e be mad oh 
Oya enter the groove issa jam oh 
I dey the mood, make we do the collabo",Banky Wellington,['african movies the latest Nigerian movies entertainment never stops'],24,none,en,en-GB
2021-11-03T00:42:22Z,UEFA Champions League | Group F | Atalanta BC v Manchester United | Highlights,"Highlights from the UEFA Champions League Group F match between Atalanta BC and Manchester United at A. Azzurri d'Italia in Bergamo, Italy",SuperSport,"['Yoruba 2021 Latest Movies', 'Newly Uploaded 2021 Yoruba Movies', 'Yoruba Movies 2021 New Release', 'Latest Yoruba 2021 Movie', 'Latest Yoruba Movie 2021', '2021 Yoruba Movies', 'Latest Yoruba Movie 2021 Releases', 'Latest Yoruba Movie 2021 Releases This Week', '2021 Latest Yoruba Movie', '2021 Latest Yoruba Blockbuster Movie', 'Alfa Saheed 3 Latest Yoruba Movie 2021 Drama', 'Alimi 3 Latest Yoruba Movie 2021 Drama', 'LOVE BONDAGE Latest Yoruba Movie 2021', 'OBA BI OLORUN 2 Latest Yoruba Movie 2021']",17,none,yo,en-GB
2021-11-11T19:00:12Z,A DUNIYA KASHI 44,,Zinariya Hausa TV,"['african movies', 'african videos', 'akpuruakpu mbe', 'aunty success', 'comedy', 'cream', 'denilson igwe comedy', 'dhar mann', 'emanuela african comedy', 'emmanuella', 'emmanuella comedy', 'emmanuella comedy 2021', 'ice cream', 'kbrown comedy', 'mark angel', 'mark angel comedy', 'mark angel comedy 2020', 'mark angel comedy 2021', 'mark angel comedy ice cream', 'mark angle', 'markangelcomedy', 'nollywood movies', 'samspeedy and mama', 'short comedy', 'success comedy', 'the accident', 'xploit comedy', 'yoruba movies']",22,none,en,yo
2021-11-11T17:23:29Z,DIS AND DAT SEASON 7 - (MERCY JOHNSON & PEACE ONUOHA) LATEST NIGERIAN NOLLYWOOD MOVIES,"#DisandDat #newmovie2021 #Mercyjohnsonmovies 
In quest to find a true Love Mercy disguised as Chika to find her curiosity. 
Starring Mercy Johnson, Chika Anyanwu, Onyenze Amobi, Peace Onuoha, Johnson Ognu, Didi Ezenwa, Pianka Patrick, Bella John, Esther Oyekwe, Chioma Daniels, Uchenna Bigi movies,nollywood movies,nollywood films,free nigerian movies,2021 nigerian movies,top nollywood movies,nollywoodpicturestv,nigerian movies 2021 latest full movies,new nigerian movies 2020 latest full movies,2021 nigerian movies,2020 nigerian movies with zubby michael,free nigerian movies 2021, painful ritual nigerian movie,nollywood youtube channel,nigerian,zubby michael movie,nollywood videos, latest 2021 nollywood movies, crystaltouch tv

ONYENZETV THE BEST",ONYENZE TV,"['The Bridge yoruba movie', 'Bridge yoruba movie', 'Bridge mimisola daniel', 'Bridge latest yoruba movie', 'Yoruba movie new release 2021', 'latest yoruba movie 2021 this week', 'yoruba movie 2021 new release today', 'libratv latest yoruba movie', 'Odunlade Adekola', 'Bimbo Oshin', 'Mimisola Daniel', 'Niyi Johnson', 'Bose Akinola', 'Damilola Oni', 'Yetunde Alabi Ashabi', 'Yoruba movie on libratv', 'bridge odunlade adekola', 'libratv', 'yoruba movie', 'libra tv', 'yoruba', 'movies']",10,none,en-GB,en
2021-11-05T15:00:27Z,Ejika The Tailor - Latest Yoruba Movie 2021 Comedy Starring Mr Macaroni | Wale Akorede | Yemi Elesho,"A well known fashion designer suddenly watches his tailoring business go down the drain in his very eyes. In order to remain in business to survive, he closes his shop and sends his apprentice to the street as obioma or london tailor or ejika ni shop. An insane comedy featuring your very best comedians. 

FOLLOW on IG. TW and FB: @OFFICIALYORUBAHOODTV",Yorubahood,"['Tegwolo comedy', 'House of ajebo', 'Ajebo comedy', 'Sam speedy', 'Anambra election', 'Broda Shagi', 'Mr Macaroni', 'Championofwarri']",24,none,en-GB,yo
2021-11-08T09:43:27Z,Oluwadolarz In Hot Soup (Oluwadolarz Room Of Comedy),"Kindly subscribe to this channel and hit the notification bell
Watch this new funny  video from Oluwadolarz Room of Comedy

Have you watched On The Go Episode 2, kindly go watch now
https://youtu.be/6Wskw_QvAbo


#oluwadolarz #oluwadolarzroomofcomedy #nigeriancomedy",Oluwadolarz Room Of Comedy,"['Bovi Ugboma', 'Bovi', 'Ugboma', 'comedy', 'comedian', 'Nigeria', 'Nigerian comedy', 'comedy skit', 'comedy central', 'comedy video', 'comedy show', 'comedy naija', 'comedy skits 2017 nigeria', 'comedy nigerian', 'skits and sketches', 'funny videos nigeria', 'rib cracking comedy', 'rib cracking']",23,none,en-GB,en
2021-11-06T14:28:38Z,BRIDGE Latest Yoruba Movie 2021 Odunlade Adekola| Mimisola Daniel|Bimbo Oshin|Niyi Johnson|Bose Akin,"Because they are genuinely and deeply in love they decided to cross all the Bridges. Is reasoning not part of love?
From the producer of Surface and Veil we present another blockbuster BRIDGE
Starring Odunlade Adekola, Bimbo Oshin, Mimisola Daniel, Niyi Johnson, Bose Akinola, Damilola Oni, Yetunde Alabi Ashabi and more",LibraTv,"['YAWA', 'YAWA SKITS', 'Kassim Braimah', 'Kalistus', 'Comedian', 'comedy', 'fun', 'funny', 'comedian', 'skit', 'jokes', 'standup', 'Nigeria', 'Menta Music', 'mentamusic', 'Africa', 'African']",1,none,en,en
2021-11-08T12:02:45Z,snoring Uncle,"Tegwolo's Uncle visits them to spend a few weeks with them, Mama Tegwolo is happy to see her elder brother, Tegwolo is also happy to meet his uncle until he goes to sleep and throws the whole house into chaos with his Lound snore.

Don't forget to subscribe andnturn on notification for more funny videos.",HouseOfAjebo,"['Reekado Banks', 'Ozumba Mbadiwe', 'Official Video', 'Ozumba Mbadiwe Official Video', 'End Sars', 'October 20', 'Afrobeats Music', 'African Music', 'Banks Music', 'World Music']",23,none,en,en
2021-11-06T11:00:12Z,(BACK TO SCHOOL)(GRADUATION SEASON)(EPISODE 3),"Welcome to the hilarious world of Bovi- actor, comedian writer. Bovi Official YouTube channel is where you can enjoy the array of rib cracking sitcoms, hilarious skits, funny videos and memorable stand-up performances.

Please don't forget to SUBSCRIBE:
https://www.youtube.com/user/boviTV?sub_confirmation=1

--
#Bovi #Ugboma #BoviUgboma #comedy #comedian #Nigeriancomedy #comedynaija #ribcracking #BoviUgbomaShow #MentaMusic #NigerianComedy2018",Bovi Ugboma,"['Bernardo goals', 'Highlights', 'Man City', 'Man Utd Goals']",23,none,,en
2021-11-10T05:58:38Z,GBAS GBOS IN THE SANCTUARY 😭🤦🏾‍♂️,"#TwyseAndFamily

Twyse and Family THE MOVIE - https://www.reelhouse.org/twyseereme/twyse-and-family-the-movie

Clothing Line - https://www.twysecollections.com

SOCIAL MEDIA:
Instagram: https://www.instagram.com/twyse_116/
Twitter: https://www.twitter.com/twyse_116
Facebook: https://www.facebook.com/TheRealTwyse116

Thank you all for watching ❤️",Twyse Ereme,"['Mc Lively', 'McLively', 'mc lively comedy', 'Nigerian Comedy', 'Liveliest Man Alive', 'comedy', 'skits', 'funny', 'Nigeria', 'funny skits', 'mclively', 'broda shaggi', 'CORONAVIRUS', 'COVID-19', 'COMEDY2020', 'NIGERIAN COMEDY2020', 'STAYHOME', 'COVID', 'HILARIOUS', 'funnyskits', 'entertainment', 'barristermike', 'barrister mike', 'THE NAKED CHALLENGE', 'oluwadolarz', 'mr macaroni', 'zfancy', 'challenge', 'forex', 'liveliest man alive', 'nigerian comedy', 'lasisi elenu latest', 'officer woos', 'mark angel comedy', 'download', 'maraji', 'taaooma', 'ay', 'aycomedian', 'waptv']",24,none,,en
2021-11-05T15:26:02Z,"PARTY CRASHERS (YawaSkits, Episode 112)","#yawaskits #kalistus #comedy

We will crash your party even when uninvited.

Subscribe to YAWA SKITS Channel: http://goo.gl/WCKAvd
Enjoy!
WATCH BEHIND THE SCENES OF YAWASKITS HERE https://www.youtube.com/channel/UCGHt9n_lS15uxRuinnl_ddA

Order YawaSkits T-Shirts:
https://yawa-skits.creator-spring.com/?
Support us via: https://www.patreon.com/yawaskits

www.yawaskits.tv
Connect with us on Instagram
https://www.twitter.com/yawaskit
https://www.instagram.com/yawaskits/
https://www.instagram.com/sifonokoi
https://www.instagram.com/kassimbraimah/",YAWA SKITS,"['DFB', 'German Football', 'Football', 'Soccer', 'Germany', 'deutschland liechtenstein', 'germany liechtenstein', 'thomas müller', 'sane', 'world cup qualifier', 'highligths', 'germany highlights', 'dfb']",23,none,,en-GB
2021-11-12T15:00:28Z,Reekado Banks - Ozumba Mbadiwe (Official Video),"Watch the Official Video for Ozumba Mbadiwe by Reekado Banks off the EP, OTR, Vol. 2.

Stream on all music platforms:
https://mad.ffm.to/otr-vol2

Follow Reekado Banks on Socials:
Instagram - https://www.instagram.com/reekadobanks/
Twitter - https://www.twitter.com/ReekadoBanks
Facebook - https://www.facebook.com/reekadobanksofficial

Lyrics:
I’ll be on ozumba mbadiwe


I no dey move dat way 
Don’t make me move dat way 
Me, I no wan sleep for highway 
‘Fore you cross ,gaz look your sideways 
Me, I no come Lagos for child’s play 
So I hear say dem Dey find me 
For the long time I been silent
I dey run am I be sterling 
But Dey think say I’m in hiding 
Cos Dey don’t know how to find me 

Reekado Banks - Ozumba Nbadiwe Lyrics. 

I’ll be on ozumba MBADIWE 

Coming to you 

And if you think say you be giant you be giant for your pocket 
If you only fight for your pocket
For your pocket 
October 20 2020 
Something happen with the government 
They think say we go forget 
For where 
For ozumba mbadiwe 

Man I tell ya 

I no dey move dat way 
Don’t make me move dat way 
Me I no wan sleep for highway 
Fore you cross gaz look your sideways 
Me I no come Lagos for child’s play 
In the meantime ,Abike mi 
How you want am make you tell me 
If you need speed I be sterling
I’ll go right behind the steering 
I go run am kini ise mi  

I’ll be on Ozumba Mbadiwe

#ReekadoBanks #OzumbaMbadiwe #OTRVol2",Reekado Banks,"['Channels Television', 'Channels TV', 'Africa News', 'Anambra election', 'unknown gunmen', 'ipob', 'willie obiano', 'Biafra boys', 'esn', 'show of force', 'nigerian army', 'gun battle', 'shoot out', 'gun fight']",10,none,,en
2021-11-06T22:02:32Z,Manchester City Derby Highlights! | United 0-2 City | Bailly OG & Bernardo Silva goal!,City turn on the style to win the 186th Manchester Derby with ease.,Man City,"['Ckay Love Nwantiti Official Video', 'Ckay ft. Joeboy & Kuami Eugene', 'African Songs 2020', 'ckay love nwantinti instrumental', 'Valentines Day Songs', 'producer', 'way by ckay', 'afrobeats 2020', 'CKay Contaier', 'chocolate city', 'Ckay Way', 'african music', 'nigeria', 'ckay the first', 'African artiste', 'Naya Effects', 'afronation ghana', 'ckay yo', 'Love Nwantiti', 'container don land', 'choc city', 'Warner Music', 'Ckay_Yo', 'CKay the First']",17,none,,en
2021-11-08T17:00:12Z,LIVELY THE EXPLORER | MC LIVELY (ft. OLAIYA IGWE),"PLEASE SUBSCRIBE!

This is the official YouTube channel of Mc Lively, welcome to the channel of the Liveliest Man Alive. You're not living if you're not laughing.

--
#McLively #NigerianComedy #NigerianComedy2021 #LiveliestManAlive #comedy #funnyskits",MC LIVELY,"['samspedy', 'samspedy comedy', 'mama ojo and ojo', 'ojo comedy', 'african parents', 'african home', 'nigerian movies', 'nigerian parents', 'funny nigerian movies', 'ojo and mom', 'unwanted visitor']",23,none,,en
2021-11-11T23:00:20Z,Record Win for Flick | Germany - Liechtenstein 9-0 | Highlights | World Cup Qualifier,"Watch the highlights of the World Cup Qualifier match between Germany and Liechtenstein now on German Football.

Goals: 1-0 Gündogan (P) (11’), 2-0 Kaufmann (OG) (20’), 3-0 Sané (22’), 4-0 Reus (23’), 5-0 Sané (49’), 6-0 T. Müller (76’), 7-0 Baku (80’), 8-0 T. Müller (86’), 9-0 Göppel (OG) (89’)

Subscribe now for more German Football action & hit the bell: https://zly.de/dfb/yt_sub",German Football,"['FACETV AFRICA', 'K1 DE ULTIMATE FEEL EMOTIONAL WITH SAHEED OSUPA OLD MUSIC', 'MUSICFACENIGERIA', 'FUJI MUSIC', 'WASIU ALABI PASUMA', 'SAHEED OSUPA', 'K1', 'OBESERE', 'TAIYE CURRENCY', 'TOPE ALABI', 'NIGERIA HIP HOP', 'WIZKID', 'LATEST', 'VIDEO', 'DAVIDO', 'OLAMIDE', 'TIWA SAVAGE', 'TECKNO', 'PATORANKING', 'ADEKUNLE GOLD', 'YORUBA MOVIES', 'ODUNLADE ADEKOLA', 'LIZZY ANJORIN', 'NIGERIA POLITICS', 'SARAKI', 'BUHARI', 'FATHIA BALOGUN', 'ACTOR', 'PERFORMANCE', 'LIVE SHOW']",17,none,,en
2021-11-07T20:00:26Z,SUNDAY SERVICE: NEGLIGENCE SUNDAY,,AyoAjewole Woliagba-YPM,"['Bovi Ugboma', 'Bovi', 'Ugboma', 'comedy', 'comedian', 'Nigeria', 'Nigerian comedy', 'comedy skit', 'comedy central', 'comedy video', 'comedy show', 'comedy naija', 'comedy skits 2017 nigeria', 'comedy nigerian', 'skits and sketches', 'funny videos nigeria', 'rib cracking comedy', 'rib cracking']",23,none,,en
2021-10-31T02:02:19Z,"Five Killed As CP, Operatives Battle Gunmen At Anambra Market","Five gunmen were killed while they attempted to attack a convoy of a joint team of security forces at Nnobi in Idemili South Local Government Area of the state.
Don't forget to subscribe:  https://bit.ly/2Hb8hjx

Watch more interesting videos: https://bit.ly/34ogCaw

Follow Channels Television On: 
Facebook: https://www.facebook.com/channelsforum/ 
Twitter: https://twitter.com/channelstv
Instagram: https://www.instagram.com/channelstelevision/?hl=en

Get more news on our website: https://www.channelstv.com/

#ChannelsTv",Channels Television,"['FC Barcelona', 'برشلونة،', 'Fútbol', 'FUTBOL', 'soccer', 'FUTEBOL', 'Sepakbola', 'サッカー', 'كرة القدم', 'football', 'FCB', 'Barça', 'Sport', 'Club', 'Barcelona', 'CAMP NOU', 'ter stegen', 'pique', 'busquets', 'goat', 'dembele', 'lenglet', 'yt:cc=on', 'ansu fati', 'riqui puig', 'koeman', 'coutinho', 'pedri', 'de Jong', 'Memphis', 'depay', 'Kun Agüero', 'Aguero']",25,none,,en-GB
